,open_date,subject,neighborhood,Days_Open
57408,2022-11-11 21:05:00,Dept of Public Works,Elmwood Bryant,114
57418,2022-10-25 13:22:00,Dept of Public Works,Central,131
57447,2022-10-03 15:35:00,Dept of Law,UNKNOWN,153
57465,2022-11-28 12:37:00,DPIS,North Park,97
57503,2022-12-15 11:03:00,Dept of Public Works,Kaisertown,80
57512,2022-06-28 23:34:00,Dept of Public Works,Hopkins-Tifft,249
57528,2022-09-06 14:57:00,Dept of Public Works,Black Rock,180
57548,2022-05-17 10:04:00,Dept of Law,UNKNOWN,292
57593,2022-12-08 08:59:00,Dept of Public Works,South Park,87
57615,2022-10-05 09:21:00,Dept of Public Works,Riverside,151
57720,2022-10-06 01:45:00,Dept of Law,UNKNOWN,150
57730,2022-11-01 15:57:00,Dept of Public Works,Central,124
57734,2022-10-25 12:50:00,Office of the Mayor,Delavan Grider,131
57767,2022-11-04 14:16:00,Dept of Law,UNKNOWN,121
57777,2022-11-03 15:05:00,Dept of Law,UNKNOWN,122
57826,2022-11-02 17:03:00,Dept of Law,UNKNOWN,123
57878,2022-09-08 16:10:00,Dept of Law,UNKNOWN,178
57890,2022-08-31 17:19:00,Dept of Public Works,Elmwood Bidwell,186
57933,2022-11-17 12:04:00,Dept of Law,UNKNOWN,108
57967,2022-11-09 10:30:00,Dept of Public Works,Lower West Side,116
57979,2022-11-30 09:38:00,Dept of Public Works,First Ward,95
58031,2022-03-25 09:51:00,Dept of Public Works,Central,345
58110,2022-11-02 15:46:00,DPIS,North Park,123
58129,2022-09-29 11:26:00,DPIS,North Park,157
58171,2022-10-21 15:35:00,Dept of Public Works,Genesee-Moselle,135
58194,2022-06-26 21:42:00,Dept of Law,UNKNOWN,252
58250,2022-12-07 15:49:00,Dept of Public Works,Ellicott,88
58258,2022-09-06 09:12:00,Dept of Public Works,Fillmore-Leroy,180
58330,2022-06-06 10:19:00,Dept of Public Works,Elmwood Bidwell,272
58437,2022-10-14 10:22:00,Dept of Public Works,Elmwood Bidwell,142
58511,2022-11-29 10:53:00,Dept of Law,UNKNOWN,96
58519,2022-09-06 12:52:00,Dept of Public Works,Hopkins-Tifft,180
58591,2022-12-01 21:00:00,DPIS,West Side,94
58621,2022-11-10 09:46:00,Dept of Public Works,West Side,115
58641,2022-11-30 14:16:00,Dept of Public Works,South Park,95
58673,2022-10-19 13:58:00,Dept of Public Works,North Park,137
58688,2022-09-08 08:11:00,Dept of Public Works,Upper West Side,178
58697,2022-04-27 14:35:00,Dept of Public Works,South Park,312
58710,2022-11-04 14:40:00,Dept of Public Works,University Heights,121
58781,2022-09-13 06:06:00,Dept of Law,UNKNOWN,173
58793,2022-05-18 09:35:00,Dept of Public Works,Lower West Side,291
58808,2022-03-23 15:20:00,Dept of Public Works,South Park,347
58811,2022-11-21 15:23:00,Dept of Law,UNKNOWN,104
58820,2022-04-28 15:18:00,Dept of Public Works,UNKNOWN,311
58900,2022-10-26 10:34:00,Dept of Public Works,Elmwood Bidwell,130
58962,2022-10-31 15:31:00,Dept of Public Works,Masten Park,125
58992,2022-10-19 16:43:00,Office of Strategic Planning,Pratt-Willert,137
59046,2022-10-06 15:10:00,Dept of Public Works,Allentown,150
59057,2022-11-03 13:32:00,Dept of Public Works,Genesee-Moselle,122
59068,2022-12-06 10:25:00,Dept of Public Works,MLK Park,89
59090,2022-11-04 12:18:00,Dept of Public Works,West Side,121
59113,2022-10-14 11:46:00,Dept of Public Works,Parkside,142
59155,2022-09-29 20:00:00,DPIS,Allentown,157
59236,2022-11-02 14:08:00,Dept of Public Works,First Ward,123
59259,2022-10-31 12:28:00,DPIS,Schiller Park,125
59323,2022-09-07 12:10:00,Dept of Law,UNKNOWN,179
59346,2022-09-08 14:50:00,DPIS,Upper West Side,178
59409,2022-09-06 14:28:00,Dept of Public Works,Broadway Fillmore,180
59419,2022-05-15 09:11:00,Dept of Law,UNKNOWN,294
59424,2022-11-16 10:38:00,Dept of Public Works,Kenfield,109
59620,2022-12-01 09:56:00,Dept of Public Works,First Ward,94
59651,2022-11-25 15:29:00,Dept of Public Works,Fruit Belt,100
59669,2022-10-21 13:57:00,Dept of Public Works,Central,135
59677,2022-10-20 22:30:00,DPIS,Broadway Fillmore,136
59798,2022-11-16 10:42:00,Dept of Public Works,Elmwood Bryant,109
59840,2022-11-03 08:56:00,Dept of Public Works,Genesee-Moselle,122
59844,2022-10-28 14:33:00,DPIS,North Park,128
59916,2022-12-22 13:35:00,Dept of Public Works,Delavan Grider,73
59975,2022-09-06 09:42:00,Dept of Public Works,Elmwood Bidwell,180
60004,2022-11-10 13:48:00,Dept of Public Works,Parkside,115
60044,2022-10-26 08:59:00,DPIS,Schiller Park,130
60110,2022-11-28 08:40:00,Dept of Public Works,Kensington-Bailey,97
60129,2022-11-28 11:21:00,Dept of Public Works,First Ward,97
60210,2022-10-06 13:52:00,Dept of Public Works,University Heights,150
60256,2022-12-19 15:29:00,Dept of Public Works,MLK Park,76
60289,2022-11-06 21:16:00,Dept of Public Works,University Heights,119
60312,2022-09-13 11:07:00,Dept of Public Works,University Heights,173
60394,2022-09-28 15:18:00,Dept of Public Works,Lower West Side,158
60554,2022-08-12 09:46:00,Dept of Public Works,Riverside,205
60572,2022-10-22 12:34:00,Dept of Law,UNKNOWN,134
60575,2022-11-16 09:34:00,Dept of Public Works,Delavan Grider,109
60585,2022-12-21 12:41:00,DPIS,North Park,74
60617,2022-12-19 10:55:00,Dept of Public Works,Elmwood Bidwell,76
60637,2022-09-13 13:41:00,Dept of Public Works,South Park,173
60643,2022-12-08 13:21:00,DPIS,North Park,87
60684,2022-12-01 08:38:00,Dept of Public Works,Pratt-Willert,94
60695,2022-09-14 15:44:00,Dept of Public Works,West Side,172
60703,2022-05-17 08:53:00,Dept of Public Works,Lovejoy,292
60739,2022-09-09 14:28:00,Dept of Public Works,Seneca-Cazenovia,177
60769,2022-12-16 18:39:00,Buffalo Police Department,Upper West Side,79
60786,2022-09-14 11:09:00,Dept of Public Works,Allentown,172
60864,2022-11-28 08:43:00,Dept of Public Works,Riverside,97
60889,2022-11-08 09:30:00,Buffalo Police Department,Parkside,117
60926,2022-10-19 13:55:00,Dept of Public Works,Masten Park,137
60970,2022-11-23 12:14:00,Dept of Public Works,Upper West Side,102
61013,2022-12-07 15:59:00,Dept of Public Works,West Side,88
61017,2022-11-08 11:47:00,Dept of Law,UNKNOWN,117
61105,2022-09-12 10:08:00,Dept of Public Works,Elmwood Bryant,174
61155,2022-12-06 10:39:00,Dept of Law,UNKNOWN,89
61172,2022-09-09 11:31:00,Dept of Public Works,North Park,177
61188,2022-12-01 08:47:00,Dept of Public Works,Upper West Side,94
61253,2022-09-07 14:23:00,DPIS,North Park,179
61264,2022-07-18 16:05:00,Dept of Public Works,UNKNOWN,230
61336,2022-12-06 09:36:00,Dept of Law,UNKNOWN,89
61362,2022-12-20 12:26:00,Dept of Public Works,University Heights,75
61433,2022-10-07 12:00:00,Dept of Law,UNKNOWN,149
61478,2022-12-23 14:19:00,Dept of Public Works,Hopkins-Tifft,72
61526,2022-09-09 12:41:00,Dept of Public Works,Seneca Babcock,177
61536,2022-12-05 12:36:00,Dept of Law,UNKNOWN,90
61540,2022-09-12 12:00:00,Buffalo Police Department,Hopkins-Tifft,174
61577,2022-12-07 11:13:00,Office of Strategic Planning,Riverside,88
61597,2022-10-27 08:47:00,Dept of Public Works,Elmwood Bidwell,129
61643,2022-11-07 08:31:00,Dept of Public Works,MLK Park,118
61646,2022-10-06 15:36:00,Dept of Public Works,Kaisertown,150
61681,2022-10-30 14:44:00,Dept of Law,UNKNOWN,126
61729,2022-11-17 09:37:00,Dept of Public Works,Hopkins-Tifft,108
61742,2022-09-20 13:09:00,Dept of Public Works,Hopkins-Tifft,166
61779,2022-10-18 12:46:00,Dept of Public Works,Fruit Belt,138
61802,2022-09-12 16:43:00,Dept of Public Works,Central,174
61811,2022-09-16 15:14:00,Dept of Law,UNKNOWN,170
61812,2022-09-13 10:14:00,Dept of Public Works,North Park,173
61815,2022-11-16 16:06:00,Dept of Public Works,Elmwood Bryant,109
61863,2022-10-07 10:15:00,DPIS,Riverside,149
61887,2022-07-12 10:00:00,Dept of Public Works,Masten Park,236
61901,2022-12-20 12:09:00,Dept of Public Works,Elmwood Bidwell,75
61981,2022-09-09 15:04:00,Dept of Public Works,University Heights,177
62048,2022-09-10 05:38:00,Dept of Public Works,University Heights,176
62091,2022-09-23 11:07:00,Dept of Public Works,Riverside,163
62095,2022-12-08 08:47:00,Dept of Law,UNKNOWN,87
62155,2022-12-15 10:04:00,Dept of Public Works,Schiller Park,80
62195,2022-09-09 14:21:00,Dept of Public Works,Elmwood Bidwell,177
62197,2022-11-09 13:09:00,Dept of Public Works,University Heights,116
62202,2022-07-12 09:56:00,Dept of Public Works,South Park,236
62276,2022-11-17 14:13:00,Dept of Public Works,West Side,108
62306,2022-12-13 15:22:00,Dept of Public Works,North Park,82
62311,2022-09-09 13:41:00,Dept of Public Works,Hopkins-Tifft,177
62334,2022-12-16 11:42:00,Dept of Public Works,Masten Park,79
62335,2022-09-12 13:02:00,Dept of Public Works,Elmwood Bryant,174
62384,2022-11-07 13:30:00,DPIS,Riverside,118
62412,2022-11-08 19:34:00,Dept of Law,UNKNOWN,117
62426,2022-12-20 17:36:00,Dept of Law,UNKNOWN,75
62447,2022-11-07 14:49:00,Dept of Public Works,Grant-Amherst,118
62505,2022-12-16 15:07:00,Dept of Public Works,Elmwood Bidwell,79
62550,2022-10-17 19:16:00,Dept of Public Works,Elmwood Bryant,139
62559,2022-12-02 14:58:00,Dept of Public Works,Central Park,93
62573,2022-12-08 14:29:00,DPIS,Riverside,87
62657,2022-10-08 10:33:00,Dept of Public Works,Black Rock,148
62790,2022-09-13 13:42:00,Dept of Law,UNKNOWN,173
62799,2022-09-19 14:51:00,Dept of Public Works,Kensington-Bailey,167
62803,2022-12-16 14:31:00,DPIS,Genesee-Moselle,79
62819,2022-12-16 09:07:00,Dept of Public Works,Riverside,79
62871,2022-10-04 15:30:00,Buffalo Police Department,Hopkins-Tifft,152
62984,2022-09-28 11:36:00,DPIS,Schiller Park,158
63041,2022-05-20 11:15:00,DPIS,Central,289
63102,2022-09-09 10:06:00,Dept of Public Works,Upper West Side,177
63197,2022-11-04 14:54:00,Dept of Law,UNKNOWN,121
63224,2022-09-09 13:24:00,Dept of Public Works,Elmwood Bidwell,177
63225,2022-09-21 17:30:00,Dept of Public Works,Riverside,165
63231,2022-12-20 08:57:00,Dept of Public Works,Seneca-Cazenovia,75
63307,2022-04-06 10:42:00,Dept of Law,UNKNOWN,333
63339,2022-12-02 11:55:00,Dept of Public Works,South Park,93
63348,2022-12-06 10:24:00,Dept of Public Works,Central,89
63354,2022-10-27 10:40:00,Dept of Public Works,Broadway Fillmore,129
63361,2022-11-29 16:14:00,Dept of Public Works,Pratt-Willert,96
63383,2022-11-07 08:59:00,Dept of Public Works,Hopkins-Tifft,118
63459,2022-07-01 12:11:00,Dept of Law,UNKNOWN,247
63481,2022-12-02 13:41:00,Dept of Public Works,First Ward,93
63521,2022-09-09 16:00:00,Dept of Public Works,Hamlin Park,177
63533,2022-12-12 16:28:00,Dept of Public Works,Upper West Side,83
63538,2022-12-15 10:47:00,Dept of Public Works,Hopkins-Tifft,80
63554,2022-09-12 13:57:00,Dept of Public Works,Hopkins-Tifft,174
63560,2022-12-15 08:17:00,Dept of Law,UNKNOWN,80
63593,2022-12-06 12:41:00,Dept of Public Works,Fruit Belt,89
63624,2022-09-14 10:00:00,Dept of Law,UNKNOWN,172
63627,2022-11-23 15:05:00,Dept of Public Works,Central,102
63628,2022-09-11 09:42:00,Dept of Public Works,Elmwood Bidwell,175
63645,2022-12-20 09:15:00,Dept of Public Works,Fillmore-Leroy,75
63676,2022-11-04 00:51:00,DPIS,Schiller Park,121
63682,2022-10-24 09:26:00,Dept of Public Works,North Park,132
63724,2022-05-02 14:04:00,Dept of Public Works,Parkside,307
63742,2022-10-07 00:15:00,Dept of Public Works,Allentown,149
63756,2022-11-23 11:29:00,Dept of Public Works,Kensington-Bailey,102
63762,2022-12-16 08:53:00,Dept of Public Works,Hamlin Park,79
63814,2022-11-04 08:30:00,Buffalo Police Department,West Side,121
63873,2022-09-14 10:17:00,Dept of Public Works,Elmwood Bidwell,172
64151,2022-09-21 21:18:00,Dept of Law,UNKNOWN,165
64204,2022-12-05 12:30:00,Buffalo Police Department,Lovejoy,90
64216,2022-12-06 14:06:00,Dept of Public Works,Upper West Side,89
64230,2022-10-11 15:08:00,Dept of Law,UNKNOWN,145
64231,2022-11-08 23:40:00,Dept of Public Works,Masten Park,116
64258,2022-11-09 11:30:00,Dept of Public Works,Central,116
64290,2022-11-28 11:03:00,Dept of Public Works,Riverside,97
64312,2022-07-26 14:52:00,Dept of Public Works,Kaisertown,222
64316,2022-11-08 10:37:00,Dept of Law,UNKNOWN,117
64371,2022-12-07 11:27:00,Dept of Law,UNKNOWN,88
64377,2022-12-02 15:19:00,Dept of Public Works,Fillmore-Leroy,93
64600,2022-11-30 09:24:00,Dept of Public Works,Kenfield,95
64647,2022-11-29 12:36:00,Dept of Public Works,Kenfield,96
64662,2022-12-06 08:33:00,Dept of Public Works,Parkside,89
64727,2022-12-15 15:32:00,Dept of Public Works,Kaisertown,80
64766,2022-12-08 12:56:00,Dept of Public Works,Central,87
64806,2022-11-04 15:26:00,Dept of Public Works,Hopkins-Tifft,121
64809,2022-11-03 15:13:00,Dept of Law,UNKNOWN,122
64911,2022-11-21 11:37:00,Dept of Public Works,West Side,104
64958,2022-11-09 13:06:00,Dept of Public Works,Parkside,116
65046,2022-08-02 15:37:00,Dept of Public Works,West Side,215
65066,2022-09-09 15:46:00,Dept of Public Works,Riverside,177
65094,2022-11-02 09:00:00,Dept of Parking,Elmwood Bryant,123
65099,2022-09-12 08:46:00,Dept of Public Works,Schiller Park,174
65122,2022-12-13 10:46:00,Dept of Public Works,Elmwood Bryant,82
65136,2022-06-23 10:59:00,Dept of Public Works,North Park,255
65217,2022-12-02 14:26:00,DPIS,Central Park,93
65243,2022-09-12 11:53:00,Dept of Public Works,Hopkins-Tifft,174
65259,2022-12-06 11:24:00,Dept of Public Works,Riverside,89
65328,2022-11-29 18:19:00,Dept of Law,UNKNOWN,96
65329,2022-12-19 14:45:00,Dept of Public Works,Pratt-Willert,76
65391,2022-10-05 15:50:00,Dept of Public Works,Hopkins-Tifft,151
65396,2022-12-15 10:45:00,Dept of Public Works,Fillmore-Leroy,80
65443,2022-10-15 18:08:00,Dept of Law,UNKNOWN,141
65503,2022-11-21 12:47:00,Dept of Law,UNKNOWN,104
65560,2022-09-15 09:30:00,Utilities,Masten Park,171
65572,2022-09-16 09:47:00,Dept of Public Works,University Heights,170
65593,2022-12-14 15:54:00,Dept of Law,UNKNOWN,81
65636,2022-12-09 09:33:00,Dept of Public Works,Allentown,86
65661,2022-12-07 15:28:00,Dept of Law,UNKNOWN,88
65780,2022-11-28 08:58:00,DPIS,Schiller Park,97
65824,2022-11-18 12:36:00,Dept of Public Works,Genesee-Moselle,107
65845,2022-11-25 15:25:00,Dept of Public Works,Hopkins-Tifft,100
65853,2022-11-16 10:28:00,Dept of Public Works,Kensington-Bailey,109
65891,2022-10-04 13:46:00,Dept of Public Works,Hopkins-Tifft,152
65979,2022-12-02 14:00:00,Dept of Public Works,Black Rock,93
66079,2022-10-13 20:54:00,Dept of Law,UNKNOWN,143
66090,2022-11-16 09:14:00,Dept of Public Works,MLK Park,109
66146,2022-11-16 10:41:00,Dept of Public Works,South Park,109
66221,2022-11-16 11:04:00,Dept of Public Works,Hopkins-Tifft,109
66260,2022-09-16 11:50:00,Dept of Public Works,Central Park,170
66273,2022-11-16 13:14:00,Dept of Public Works,MLK Park,109
66287,2022-12-12 18:09:00,Dept of Law,UNKNOWN,83
66307,2022-12-13 15:17:00,Dept of Public Works,North Park,82
66346,2022-12-15 12:51:00,Dept of Law,UNKNOWN,80
66368,2022-12-06 13:26:00,Dept of Law,UNKNOWN,89
66378,2022-11-14 08:47:00,Dept of Public Works,Fruit Belt,111
66381,2022-12-12 11:37:00,Dept of Public Works,Elmwood Bidwell,83
66419,2022-09-16 10:51:00,Dept of Public Works,Riverside,170
66431,2022-09-15 11:03:00,Dept of Public Works,Hamlin Park,171
66452,2022-11-15 11:35:00,Dept of Public Works,Genesee-Moselle,110
66509,2022-09-16 12:07:00,Dept of Public Works,Black Rock,170
66542,2022-09-16 15:38:00,Dept of Public Works,Lovejoy,170
66569,2022-12-05 15:47:00,Dept of Public Works,MLK Park,90
66573,2022-11-17 10:11:00,Dept of Public Works,Upper West Side,108
66591,2022-11-14 09:17:00,Dept of Public Works,Hopkins-Tifft,111
66686,2022-11-14 09:27:00,Dept of Public Works,Ellicott,111
66703,2022-11-30 14:44:00,Dept of Law,UNKNOWN,95
66767,2022-11-28 21:10:00,Dept of Public Works,Fillmore-Leroy,97
66854,2022-09-27 14:26:00,Dept of Public Works,Black Rock,159
66879,2022-09-15 14:58:00,Dept of Public Works,Parkside,171
66914,2022-12-12 09:08:00,Dept of Public Works,Delavan Grider,83
66962,2022-12-06 12:36:00,DPIS,Schiller Park,89
67003,2022-09-09 15:43:00,Dept of Public Works,Riverside,177
67106,2022-12-09 13:55:00,Dept of Public Works,Kensington-Bailey,86
67164,2022-12-15 14:00:00,Dept of Public Works,Hamlin Park,80
67171,2022-11-18 13:18:00,Dept of Public Works,Grant-Amherst,107
67187,2022-12-06 08:53:00,Dept of Public Works,South Park,89
67198,2022-09-15 08:41:00,Dept of Public Works,Fillmore-Leroy,171
67203,2022-10-11 14:29:00,Dept of Law,UNKNOWN,145
67218,2022-12-06 17:38:00,Dept of Law,UNKNOWN,89
67243,2022-12-14 15:43:00,Dept of Law,UNKNOWN,81
67295,2022-09-16 11:34:00,Dept of Public Works,Lovejoy,170
67366,2022-12-14 12:07:00,Dept of Law,UNKNOWN,81
67408,2022-07-29 10:59:00,DPIS,Riverside,219
67443,2022-03-17 11:35:00,Dept of Public Works,Hopkins-Tifft,353
67447,2022-03-14 15:24:00,Dept of Public Works,Central,356
67457,2022-03-14 13:12:00,Dept of Public Works,Lower West Side,356
67486,2022-04-12 00:45:00,Dept of Public Works,Schiller Park,327
67510,2022-12-19 12:35:00,Dept of Public Works,West Side,76
67515,2022-04-08 10:54:00,Dept of Public Works,Fillmore-Leroy,331
67603,2022-06-21 15:11:00,Dept of Law,UNKNOWN,257
67617,2022-03-14 12:28:00,Dept of Law,UNKNOWN,356
67621,2022-08-19 13:00:00,Dept of Public Works,Hopkins-Tifft,198
67675,2022-07-13 09:30:00,Dept of Public Works,Elmwood Bryant,235
67711,2022-03-17 11:33:00,Dept of Law,UNKNOWN,353
67750,2022-03-18 15:14:00,Dept of Law,UNKNOWN,352
67792,2022-05-13 11:11:00,Dept of Public Works,Pratt-Willert,296
67806,2022-05-13 12:24:00,Dept of Public Works,Seneca-Cazenovia,296
67874,2022-08-08 15:13:00,Dept of Public Works,Elmwood Bidwell,209
67900,2022-04-12 12:09:00,Dept of Law,UNKNOWN,327
68016,2022-03-15 13:40:00,Dept of Public Works,Schiller Park,355
68024,2022-05-16 15:12:00,Dept of Law,UNKNOWN,293
68082,2022-05-24 10:34:00,DPIS,Lovejoy,285
68087,2022-04-12 12:58:00,Dept of Law,UNKNOWN,327
68114,2022-03-15 13:39:00,Dept of Public Works,Schiller Park,355
68333,2022-07-22 11:48:00,Dept of Public Works,Kaisertown,226
68352,2022-06-27 11:51:00,Dept of Parking,Broadway Fillmore,251
68433,2022-04-12 00:17:00,Dept of Public Works,Schiller Park,327
68468,2022-05-25 15:29:00,Dept of Public Works,Lovejoy,284
68518,2022-03-14 15:55:00,Dept of Public Works,Parkside,356
68526,2022-08-01 15:25:00,Dept of Public Works,UNKNOWN,216
68556,2022-07-14 09:09:00,Dept of Public Works,Central,234
68570,2022-05-10 13:59:00,Dept of Public Works,Riverside,299
68644,2022-05-11 14:43:00,Dept of Law,UNKNOWN,298
68684,2022-07-27 09:36:00,Dept of Public Works,Riverside,221
68803,2022-04-27 16:08:00,Dept of Public Works,Broadway Fillmore,312
68849,2022-05-10 15:35:00,Dept of Public Works,MLK Park,299
68895,2022-12-23 08:52:00,Dept of Public Works,Parkside,72
68916,2022-04-28 15:42:00,Dept of Public Works,Schiller Park,311
68918,2022-04-20 12:17:00,Dept of Public Works,University Heights,319
68943,2022-03-16 16:22:00,Dept of Public Works,Broadway Fillmore,354
68982,2022-04-06 14:31:00,Dept of Law,UNKNOWN,333
69002,2022-03-16 09:39:00,Dept of Public Works,Masten Park,354
69008,2022-05-25 08:35:00,Dept of Public Works,Seneca-Cazenovia,284
69023,2022-04-07 15:25:00,Dept of Public Works,Delavan Grider,332
69040,2022-05-24 13:50:00,Dept of Public Works,Kaisertown,285
69165,2022-06-28 23:31:00,Dept of Public Works,Parkside,249
69274,2022-03-12 12:49:00,Dept of Law,UNKNOWN,358
69294,2022-05-05 15:32:00,Dept of Public Works,Kensington-Bailey,304
69324,2022-12-08 10:51:00,Dept of Public Works,Fillmore-Leroy,87
69328,2022-03-15 10:50:00,Dept of Law,UNKNOWN,355
69362,2022-12-12 10:45:00,Dept of Public Works,Broadway Fillmore,83
69365,2022-07-29 12:02:00,DPIS,Riverside,219
69396,2022-03-15 15:57:00,Dept of Public Works,Hopkins-Tifft,355
69438,2022-03-16 10:26:00,Dept of Public Works,Fillmore-Leroy,354
69443,2022-06-28 23:13:00,Dept of Public Works,Fillmore-Leroy,249
69464,2022-07-19 21:32:00,Dept of Law,UNKNOWN,229
69558,2022-04-07 16:04:00,Dept of Law,UNKNOWN,332
69582,2022-08-09 16:05:00,Dept of Law,UNKNOWN,208
69602,2022-04-07 04:25:00,Dept of Law,UNKNOWN,332
69622,2022-06-21 18:14:00,Utilities,Hopkins-Tifft,257
69626,2022-05-24 09:54:00,Dept of Public Works,North Park,285
69654,2022-12-21 14:18:00,Dept of Public Works,Lovejoy,74
69705,2022-08-19 17:09:00,Dept of Law,UNKNOWN,198
69734,2022-03-12 13:58:00,Dept of Public Works,Broadway Fillmore,358
69808,2022-05-31 13:32:00,Dept of Public Works,Broadway Fillmore,278
69817,2022-04-15 14:10:00,Dept of Law,UNKNOWN,324
70038,2022-07-14 17:07:00,Dept of Law,UNKNOWN,234
70045,2022-06-13 11:01:00,Dept of Public Works,Central Park,265
70079,2022-08-23 09:03:00,Dept of Law,UNKNOWN,194
70157,2022-12-08 14:35:00,DPIS,Riverside,87
70200,2022-06-17 15:16:00,Dept of Public Works,MLK Park,261
70225,2022-04-08 12:48:00,Dept of Public Works,Riverside,331
70299,2022-03-17 08:14:00,Dept of Public Works,Fruit Belt,353
70305,2022-05-25 13:46:00,Dept of Public Works,Genesee-Moselle,284
70330,2022-07-20 09:17:00,Dept of Public Works,Kaisertown,228
70348,2022-03-16 09:38:00,Dept of Public Works,Fruit Belt,354
70359,2022-12-08 13:03:00,Dept of Law,UNKNOWN,87
70396,2022-05-09 08:52:00,Dept of Public Works,Parkside,300
70524,2022-06-07 15:56:00,DPIS,Seneca-Cazenovia,271
70531,2022-11-22 11:23:00,Dept of Public Works,University Heights,103
70554,2022-12-14 10:47:00,Dept of Public Works,Masten Park,81
70638,2022-04-12 09:39:00,Dept of Public Works,Genesee-Moselle,327
70668,2022-05-05 14:14:00,Dept of Public Works,Masten Park,304
70669,2022-05-26 13:19:00,Dept of Public Works,Broadway Fillmore,283
70747,2022-04-18 15:58:00,Dept of Public Works,Elmwood Bryant,321
70762,2022-08-12 10:06:00,Dept of Public Works,Elmwood Bidwell,205
70850,2022-07-19 16:49:00,Dept of Law,UNKNOWN,229
70877,2022-04-11 15:00:00,Dept of Public Works,Delavan Grider,328
70966,2022-04-07 13:54:00,Dept of Public Works,University Heights,332
71015,2022-04-07 12:03:00,Dept of Public Works,South Park,332
71144,2022-04-12 10:01:00,Dept of Public Works,Delavan Grider,327
71200,2022-05-05 13:43:00,Dept of Public Works,Ellicott,304
71296,2022-06-21 10:55:00,Dept of Public Works,West Side,257
71306,2022-06-08 12:39:00,Dept of Public Works,Fillmore-Leroy,270
71322,2022-05-09 11:15:00,Buffalo Police Department,Lovejoy,300
71409,2022-05-31 15:15:00,Dept of Public Works,Parkside,278
71486,2022-03-12 12:57:00,Dept of Law,UNKNOWN,358
71496,2022-05-24 14:20:00,Dept of Public Works,West Side,285
71548,2022-07-05 15:10:00,Dept of Public Works,University Heights,243
71594,2022-07-27 12:32:00,Dept of Public Works,Lovejoy,221
71631,2022-04-12 00:42:00,Dept of Public Works,Schiller Park,327
71677,2022-03-14 15:36:00,Dept of Public Works,Elmwood Bryant,356
71689,2022-03-15 17:35:00,Dept of Public Works,Central Park,355
71709,2022-05-25 09:24:00,Dept of Public Works,Seneca-Cazenovia,284
71819,2022-12-22 20:40:00,Dept of Law,UNKNOWN,73
71823,2022-12-19 09:47:00,DPIS,Central,76
71832,2022-06-12 10:20:00,Dept of Public Works,Parkside,266
71865,2022-03-23 13:19:00,Dept of Public Works,Masten Park,347
71868,2022-04-12 16:17:00,Dept of Public Works,Elmwood Bryant,327
71921,2022-03-17 12:42:00,Dept of Public Works,Upper West Side,353
71941,2022-07-21 14:26:00,Dept of Public Works,Elmwood Bidwell,227
72052,2022-03-15 13:12:00,Dept of Law,UNKNOWN,355
72074,2022-04-13 15:57:00,Dept of Public Works,Riverside,326
72088,2022-05-31 09:34:00,Dept of Public Works,Kaisertown,278
72128,2022-03-16 13:51:00,Dept of Public Works,Black Rock,354
72173,2022-12-05 13:39:00,Dept of Public Works,Fruit Belt,90
72215,2022-05-11 10:01:00,Dept of Public Works,South Park,298
72292,2022-04-12 11:29:00,Dept of Public Works,Genesee-Moselle,327
72301,2022-04-10 09:36:00,Dept of Public Works,Lower West Side,329
72302,2022-06-27 09:30:00,Dept of Public Works,Parkside,251
72460,2022-12-16 16:10:00,Dept of Law,UNKNOWN,79
72465,2022-06-30 11:54:00,Dept of Law,UNKNOWN,248
72494,2022-07-06 11:41:00,Dept of Public Works,Ellicott,242
72569,2022-03-22 11:48:00,Dept of Public Works,Hopkins-Tifft,348
72579,2022-04-12 00:29:00,Dept of Public Works,Masten Park,327
72614,2022-10-18 00:49:00,Dept of Public Works,Hopkins-Tifft,138
72644,2022-07-21 15:01:00,Dept of Public Works,Upper West Side,227
72666,2022-04-10 18:35:00,Dept of Law,UNKNOWN,329
72672,2022-03-06 17:44:00,Dept of Public Works,University Heights,364
72715,2022-06-28 22:58:00,Dept of Public Works,Masten Park,249
72732,2022-05-06 12:04:00,Dept of Public Works,Central,303
72801,2022-05-18 12:37:00,Dept of Law,UNKNOWN,291
72840,2022-08-12 12:24:00,DPIS,Elmwood Bidwell,205
72853,2022-03-12 18:50:00,Dept of Law,UNKNOWN,358
72859,2022-12-16 07:32:00,Dept of Law,UNKNOWN,79
72879,2022-04-12 00:47:00,Dept of Public Works,West Hertel,327
72907,2022-05-12 14:23:00,Dept of Public Works,Central,297
72959,2022-05-06 14:52:00,Dept of Public Works,Fillmore-Leroy,303
72981,2022-12-13 08:43:00,DPIS,Genesee-Moselle,82
73003,2022-07-18 09:46:00,Dept of Public Works,Lovejoy,230
73026,2022-06-06 16:25:00,Dept of Law,UNKNOWN,272
73130,2022-12-16 12:01:00,Dept of Public Works,University Heights,79
73168,2022-08-12 12:10:00,Dept of Public Works,University Heights,205
73229,2022-03-25 13:24:00,Dept of Law,UNKNOWN,345
73249,2022-04-20 14:11:00,Dept of Public Works,Grant-Amherst,319
73254,2022-12-14 11:59:00,Dept of Public Works,MLK Park,81
73276,2022-05-11 12:22:00,Dept of Public Works,West Side,298
73278,2022-05-13 16:02:00,Dept of Public Works,Seneca Babcock,296
